date,user_submitted_review,title,total_purchased,customer_type
5/22/19,it was okay,Secrets Of R For Advanced Students,7,Business
11/16/19,Awesome!,R For Dummies,3,Business
6/27/19,Awesome!,R For Dummies,1,Individual
11-06-19,Awesome!,Fundamentals of R For Beginners,3,Individual
7/18/19,Hated it,Fundamentals of R For Beginners,NA,Business
1/28/19,Never read a better book,Secrets Of R For Advanced Students,1,Business
2/20/19,Hated it,R For Dummies,5,Business
12/17/19,Awesome!,R For Dummies,NA,Business
7/13/19,OK,R vs Python: An Essay,7,Business
6/22/19,The author's other books were better,R For Dummies,1,Business
3/14/19,A lot of material was not needed,R For Dummies,7,Business
12/19/19,A lot of material was not needed,R For Dummies,NA,Business
3/14/19,Awesome!,Fundamentals of R For Beginners,3,Business
9/23/19,Awesome!,R For Dummies,2,Business
8/21/19,,R For Dummies,0,Business
1/17/19,it was okay,R For Dummies,6,Business
04-08-19,Would not recommend,R For Dummies,3,Business
7/21/19,I learned a lot,R For Dummies,2,Individual
12-12-19,Would not recommend,Fundamentals of R For Beginners,NA,Business
3/14/19,it was okay,R For Dummies,4,Business
11-11-19,NA,R For Dummies,3,Business
09-10-19,Would not recommend,R For Dummies,4,Individual
6/20/19,it was okay,R For Dummies,3,Individual
7/29/19,Never read a better book,Secrets Of R For Advanced Students,6,Individual
05-11-19,it was okay,Secrets Of R For Advanced Students,4,Individual
11-02-19,,Fundamentals of R For Beginners,3,Individual
2/22/19,Hated it,Fundamentals of R For Beginners,1,Business
12/17/19,Would not recommend,R For Dummies,4,Business
7/26/19,A lot of material was not needed,Secrets Of R For Advanced Students,4,Individual
8/26/19,Never read a better book,Fundamentals of R For Beginners,5,Business
08-07-19,A lot of material was not needed,Secrets Of R For Advanced Students,5,Business
10/13/19,Awesome!,Top 10 Mistakes R Beginners Make,3,Business
06-08-19,Would not recommend,R vs Python: An Essay,5,Business
11/28/19,OK,Secrets Of R For Advanced Students,5,Business
11/15/19,it was okay,Secrets Of R For Advanced Students,3,Business
02-01-19,Awesome!,Fundamentals of R For Beginners,1,Business
4/18/19,I learned a lot,R For Dummies,5,Business
05-09-19,Awesome!,Secrets Of R For Advanced Students,4,Business
2/18/19,The author's other books were better,R For Dummies,4,Individual
11-09-19,Awesome!,Fundamentals of R For Beginners,NA,Business
5/19/19,Hated it,Fundamentals of R For Beginners,2,Business
4/19/19,Hated it,R For Dummies,4,Business
03-10-19,Hated it,Fundamentals of R For Beginners,2,Individual
11/18/19,NA,R For Dummies,7,Individual
3/16/19,I learned a lot,R vs Python: An Essay,3,Individual
1/16/19,A lot of material was not needed,R For Dummies,6,Business
12/16/19,,R For Dummies,5,Business
05-10-19,,Fundamentals of R For Beginners,1,Business
8/22/19,Hated it,Fundamentals of R For Beginners,6,Business
4/19/19,NA,Fundamentals of R For Beginners,4,Individual
4/23/19,I learned a lot,Fundamentals of R For Beginners,2,Business
03-11-19,Hated it,Fundamentals of R For Beginners,3,Individual
10-12-19,The author's other books were better,R For Dummies,6,Individual
11/21/19,NA,Fundamentals of R For Beginners,4,Business
06-07-19,it was okay,R For Dummies,5,Business
9/23/19,NA,Fundamentals of R For Beginners,4,Business
6/25/19,The author's other books were better,Fundamentals of R For Beginners,5,Business
07-06-19,A lot of material was not needed,R For Dummies,6,Business
11/27/19,The author's other books were better,Secrets Of R For Advanced Students,3,Business
10/22/19,NA,R vs Python: An Essay,1,Individual
8/16/19,,R For Dummies,7,Individual
03-12-19,The author's other books were better,R vs Python: An Essay,5,Individual
4/25/19,Hated it,R For Dummies,2,Individual
2/14/19,Awesome!,Secrets Of R For Advanced Students,1,Business
8/17/19,Would not recommend,Fundamentals of R For Beginners,5,Individual
01-03-19,NA,Fundamentals of R For Beginners,6,Business
9/23/19,I learned a lot,R For Dummies,5,Business
2/22/19,,Fundamentals of R For Beginners,8,Business
9/25/19,I learned a lot,Fundamentals of R For Beginners,3,Business
03-10-19,A lot of material was not needed,R For Dummies,NA,Business
08-01-19,The author's other books were better,Fundamentals of R For Beginners,1,Business
01-04-19,Never read a better book,R For Dummies,1,Business
9/15/19,The author's other books were better,R vs Python: An Essay,1,Business
3/28/19,Never read a better book,Fundamentals of R For Beginners,1,Individual
12/15/19,OK,R For Dummies,1,Business
6/24/19,Hated it,Secrets Of R For Advanced Students,2,Business
5/31/19,it was okay,Secrets Of R For Advanced Students,7,Business
2/20/19,,Secrets Of R For Advanced Students,NA,Business
4/13/19,NA,R vs Python: An Essay,NA,Individual
6/29/19,OK,R For Dummies,3,Business
12/21/19,The author's other books were better,R vs Python: An Essay,2,Business
08-12-19,NA,Fundamentals of R For Beginners,8,Business
11-07-19,Awesome!,Fundamentals of R For Beginners,4,Individual
03-07-19,,Fundamentals of R For Beginners,3,Individual
9/15/19,OK,R For Dummies,2,Business
1/19/19,it was okay,Secrets Of R For Advanced Students,2,Business
7/27/19,Would not recommend,Fundamentals of R For Beginners,2,Individual
04-11-19,Hated it,Fundamentals of R For Beginners,7,Individual
05-06-19,Hated it,R For Dummies,4,Business
01-02-19,NA,Secrets Of R For Advanced Students,2,Individual
6/13/19,I learned a lot,Secrets Of R For Advanced Students,3,Business
2/24/19,it was okay,Secrets Of R For Advanced Students,5,Individual
10/29/19,I learned a lot,Secrets Of R For Advanced Students,2,Business
10-08-19,Hated it,Fundamentals of R For Beginners,3,Individual
10-04-19,I learned a lot,R For Dummies,4,Individual
5/27/19,Would not recommend,R Made Easy,2,Business
02-07-19,A lot of material was not needed,R For Dummies,5,Business
11/24/19,Would not recommend,Fundamentals of R For Beginners,2,Business
01-09-19,The author's other books were better,R vs Python: An Essay,2,Individual
8/30/19,Awesome!,Secrets Of R For Advanced Students,NA,Individual
7/25/19,Never read a better book,R For Dummies,2,Business
12/21/19,The author's other books were better,Fundamentals of R For Beginners,5,Business
10/29/19,The author's other books were better,R vs Python: An Essay,NA,Business
06-10-19,NA,Fundamentals of R For Beginners,3,Individual
06-05-19,,R vs Python: An Essay,NA,Business
04-04-19,Awesome!,R For Dummies,1,Individual
9/17/19,The author's other books were better,Fundamentals of R For Beginners,5,Business
8/25/19,A lot of material was not needed,Fundamentals of R For Beginners,2,Business
11/27/19,Never read a better book,Top 10 Mistakes R Beginners Make,3,Business
5/27/19,The author's other books were better,Fundamentals of R For Beginners,3,Business
11-09-19,it was okay,R vs Python: An Essay,NA,Business
04-02-19,OK,Fundamentals of R For Beginners,2,Individual
11/14/19,A lot of material was not needed,Fundamentals of R For Beginners,3,Business
10-01-19,,Secrets Of R For Advanced Students,4,Business
8/13/19,,Fundamentals of R For Beginners,2,Individual
6/13/19,I learned a lot,Fundamentals of R For Beginners,NA,Business
02-08-19,it was okay,Secrets Of R For Advanced Students,5,Business
8/29/19,Hated it,Fundamentals of R For Beginners,NA,Business
07-01-19,I learned a lot,Secrets Of R For Advanced Students,7,Individual
4/20/19,Never read a better book,R vs Python: An Essay,5,Individual
12-07-19,Hated it,Fundamentals of R For Beginners,3,Individual
3/21/19,The author's other books were better,Fundamentals of R For Beginners,NA,Business
04-09-19,,Fundamentals of R For Beginners,9,Business
09-10-19,,Secrets Of R For Advanced Students,8,Individual
03-01-19,A lot of material was not needed,Fundamentals of R For Beginners,4,Business
6/14/19,Never read a better book,R For Dummies,7,Individual
5/22/19,OK,R vs Python: An Essay,7,Business
12/13/19,Hated it,R For Dummies,6,Individual
07-08-19,A lot of material was not needed,Fundamentals of R For Beginners,2,Business
9/17/19,A lot of material was not needed,R vs Python: An Essay,NA,Individual
12-01-19,I learned a lot,R vs Python: An Essay,5,Business
7/16/19,Awesome!,R For Dummies,2,Business
10/23/19,The author's other books were better,R For Dummies,4,Individual
1/17/19,,R For Dummies,6,Business
10-04-19,I learned a lot,R For Dummies,5,Business
03-04-19,,R For Dummies,5,Business
12-02-19,A lot of material was not needed,Fundamentals of R For Beginners,8,Business
9/29/19,Never read a better book,R For Dummies,NA,Business
01-06-19,OK,Fundamentals of R For Beginners,7,Individual
11/19/19,Awesome!,R For Dummies,4,Individual
10/16/19,Awesome!,R For Dummies,5,Business
04-06-19,OK,R For Dummies,3,Business
11/16/19,Hated it,Fundamentals of R For Beginners,4,Business
4/18/19,OK,R For Dummies,2,Individual
10/23/19,Never read a better book,Secrets Of R For Advanced Students,3,Business
1/31/19,A lot of material was not needed,Fundamentals of R For Beginners,3,Individual
09-08-19,Would not recommend,R For Dummies,4,Individual
